,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
84,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,4100.0,70.6,12.54,29.88,5.2,23.45,GTM,1996.0,1996.0,1996.0,11247.824596561499,8944.332831402271,6857.8994869324,
85,Guernsey,WESTERN EUROPE,65409,78,838.6,20000.0,,,8.81,10.01,,,,,,,,,
86,Guinea,SUB-SAHARAN AFRICA,9690222,245857,39.4,2100.0,35.9,3.63,41.76,15.48,25.7,GIN,1651.0,1651.0,1651.0,33650.792327262,26321.6925453939,20267.2824094248,0.244823008849558
87,Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,39.9,800.0,42.4,10.67,37.22,16.53,26.75,GNB,1577.0,1577.0,1577.0,15680.8938109472,12754.5631442549,9453.81192468384,1.09375
88,Guyana,LATIN AMER. & CARIB,767245,214970,3.6,4000.0,98.8,2.44,18.28,8.28,26.0,GUY,2387.0,2387.0,2387.0,321933.417223037,323581.578138238,315701.22350598697,0.680497925311203
89,Haiti,LATIN AMER. & CARIB,8308504,27750,299.4,1600.0,52.9,28.3,36.44,12.17,24.9,HTI,1440.0,1440.0,1440.0,1777.4455143272894,1486.15228206051,1233.2913199042,
90,Honduras,LATIN AMER. & CARIB,7326496,112090,65.4,2600.0,76.2,9.55,28.24,5.28,23.5,HND,1976.0,1976.0,1976.0,17286.0945896011,13083.6387409054,10123.2872567064,
91,Hong Kong,ASIA,6940432,1092,6355.7,28800.0,93.5,5.05,7.29,6.29,,,,,,,,,
92,Hungary,EASTERN EUROPE,9981334,93030,107.3,13900.0,99.4,50.09,9.72,13.11,9.75,HUN,589.0,589.0,589.0,578.628863685744,590.632102351031,608.1203526935881,95.3333333333333
93,Iceland,WESTERN EUROPE,299388,103000,2.9,30900.0,99.9,0.07,13.64,6.72,1.75,ISL,1940.0,1940.0,1940.0,651198.78034299,591257.047262306,519264.721154845,0.0970588235294118
